Especie,nombrecomun
Molothrus rufoaxillaris,Tordo Pico Corto
Pseudoleistes virescens,Pecho Amarillo
Mimus patagonicus,Calandria Mora
Mimus saturninus,Calandria Grande
Mimus triurus,Calandria Real
Anthus correndera,Cachirla Común
Anthus furcatus,Cachirla Uña Corta
Anthus hellmayri,Cachirla Pálida
Anthus lutescens,Cachirla Chica
Basileuterus culicivorus,Arañero coronado chico
Geothlypis aequinoctialis,Arañero cara negra
Setophaga pitiayumi,Pitiayumí
Passer domesticus,Gorrión
Polioptila dumicola,Tacuarita Azul
Sturnus vulgaris,Estornino Pinto
Taraba major,Chororó
Thamnophilus caerulescens,Choca Corona Negruzca
Thamnophilus ruficapillus,Choca Corona Rojiza
Coryphospingus cucullatus,Brasita de fuego
Donacospiza albifrons,Cachilo canela
Embernagra platensis,Verdón
Microspingus cabanisi,Monterita Litoraleña
Microspingus melanoleucus,Monterita Cabeza Negra
Paroaria capitata,Cardenilla
Paroaria coronata,Cardenal Copete Rojo
Pipraeidea bonariensis,Naranjero
Pipraeidea melanonota,Saíra de antifaz
Saltatricula multicolor,Pepitero chico
Sicalis flaveola,Jilguero dorado
Sicalis luteola,Misto
Sporophila caerulescens,Corbatita
Sporophila cinnamomea,Capuchino Corona Gris
Sporophila collaris,Corbatita dominó
Sporophila hypoxantha,Capuchino canela
Sporophila nigrorufa,Siete Vestidos Pampeano
Sporophila palustris,Capuchino Pecho Blanco
Sporophila ruficollis,Capuchino garganta café
Stephanophorus diadematus,Frutero azul
Thraupis sayaca,Celestino
Volatinia jacarina,Volatinero
Troglodytes aedon,Ratona
Turdus amaurochalinus,Zorzal Chalchalero
Turdus rufiventris,Zorzal Colorado
Camptostoma obsoletum,Piojito Silbón
Elaenia albiceps,Fiofío Silbón
Elaenia parvirostris,Fiofío Pico Corto
Empidonomus aurantioatrocristatus,Tuquito gris
Euscarthmus meloryphus,Barullero
Fluvicola pica,Viudita Lomo Negro
Hemitriccus margaritaceiventer,Mosqueta Ojo Dorado
Hymenops perspicillatus,Pico de Plata
Knipolegus cyanirostris,Viudita Pico Celeste
Lathrotriccus euleri,Mosqueta Parda
Lessonia rufa,Sobrepuesto Austral
Machetornis rixosa,Picabuey
Muscisaxicola maclovianus,Dormilona Cara Negra
Myiarchus ferox,Burlisto Pico Negro
Myiarchus swainsoni,Burlisto Pico Canela
Myiodynastes maculatus,Benteveo rayado
Myiophobus fasciatus,Mosqueta Estriada
Neoxolmis rufiventris,Monjita Chocolate
Phylloscartes ventralis,Mosqueta Carasucia
Pitangus sulphuratus,Benteveo
Polystictus pectoralis,Tachurí Canela
Pseudocolopteryx flaviventris,Doradito Pampeano
Pseudocolopteryx sclateri,Doradito Copetón
Pyrocephalus rubinus,Churrinche
Satrapa icterophrys,Suirirí Amarillo
Serpophaga griseicapilla,Piojito Trinador
Serpophaga nigricans,Piojito Gris
Serpophaga subcristata,Piojito Tiquitiqui
Sublegatus modestus,Suirirí Pico Corto
Suiriri suiriri,Suirirí Gris
Tachuris rubrigastra,Tachurí Sietecolores
Tyrannus melancholicus,Suirirí Real
Tyrannus savana,Tijereta
Xolmis cinereus,Monjita Gris
Xolmis coronatus,Monjita Coronada
Xolmis dominicanus,Monjita Dominica
Xolmis irupero,Monjita Blanca
Cyclarhis gujanensis,Juan Chiviro
Vireo chivi,Chiví-chiví
Ardea alba,Garza Blanca
Ardea cocoi,Garza Mora
Bubulcus ibis,Garcita Bueyera
Butorides striata,Garcita Azulada
Egretta thula,Garcita Blanca
Ixobrychus involucris,Mirasol Estriado
Nycticorax nycticorax,Garza Bruja
Syrigma sibilatrix,Chiflón
Tigrisoma lineatum,Hocó Colorado
Phimosus infuscatus,Cuervillo Cara Pelada
Platalea ajaja,Espátula Rosada
Plegadis chihi,Cuervillo de Cañada
Theristicus caerulescens,Bandurria Mora
Phoenicopterus chilensis,Flamenco Austral
Campephilus leucopogon,Carpintero Lomo Blanco
Colaptes campestris,Carpintero Barba Negra
Colaptes melanochloros,Carpintero Real Verde
Melanerpes cactorum,Carpintero del Cardón
Melanerpes candidus,Carpintero Blanco
Picumnus cirratus,Carpinterito Barrado
Podiceps major,Macá Grande
Podilymbus podiceps,Macá Pico Grueso
Rollandia rolland,Macá Cara Blanca
Tachybaptus dominicus,Macá Gris
Myiopsitta monachus,Cotorra
Rhea americana,Ñandú
Asio flammeus,Lechuzón Campestre
Athene cunicularia,Lechucita Vizcachera
Bubo virginianus,Ñacurutú
Glaucidium brasilianum,Caburé Chico
Megascops choliba,Alilicucú Común
Tyto alba,Lechuza de Campanario
Anhinga anhinga,Aninga
Phalacrocorax brasilianus,Biguá
Nothura maculosa,Inambú Campestre
Rhynchotus rufescens,Colorada
