"","Especie","Codigo","nombrecomun","Periodo2005-2009","Periodo2010-2014","Periodo2015-2019"
"85","Egretta thula","EGR-THU","Garcita Blanca",19,112,336
"86","Elaenia albiceps","ELA-ALB","Fiofío Silbón",NA,NA,1
"87","Elaenia parvirostris","ELA-PAR","Fiofío Pico Corto",2,17,55
"88","Elanus leucurus","ELA-LEU","Milano Blanco",5,5,5
"89","Embernagra platensis","EMB-PLA","Verdón",23,28,203
"90","Empidonomus aurantioatrocristatus","EMP-AUR","Tuquito gris",7,17,98
"91","Euscarthmus meloryphus","EUS-MEL","Barullero",1,2,17
"92","Falco femoralis","FAL-FEM","Halcón Plomizo",1,NA,3
"93","Falco peregrinus","FAL-PER","Halcón Peregrino",NA,NA,1
"94","Falco sparverius","FAL-SPA","Halconcito Colorado",3,11,42
"95","Fluvicola pica","FLU-PIC","Viudita Lomo Negro",3,8,126
"96","Fulica armillata","FUL-ARM","Gallareta Ligas Rojas",NA,4,113
"97","Fulica leucoptera","FUL-LEU","Gallareta Chica",2,5,115
"98","Fulica rufifrons","FUL-RUF","Gallareta Escudete Rojo",2,1,136
"99","Furnarius rufus","FUR-RUF","Hornero",20,342,1623
"100","Gallinago paraguaiae","GAL-PAR","Becasina de Bañado",12,36,171
"101","Gallinula chloropus","GAL-CHL","Pollona Negra",4,35,856
"102","Gallinula melanops","GAL-MEL","Pollona Pintada",6,14,279
"103","Geothlypis aequinoctialis","GEO-AEQ","Arañero cara negra",6,17,84
"104","Glaucidium brasilianum","GLA-BRA","Caburé Chico",NA,7,20
"105","Gnorimopsar chopi","GNO-CHO","Chopí",NA,1,7
"106","Guira guira","GUI-GUI","Pirincho",18,70,625
"107","Heliomaster furcifer","HEL-FUR","Picaflor de Barbijo",NA,2,2
"108","Hemitriccus margaritaceiventer","HEM-MAR","Mosqueta Ojo Dorado",NA,NA,2
"109","Heteronetta atricapilla","HET-ATR","Pato Cabeza Negra",1,NA,85
"110","Himantopus mexicanus","HIM-MEX","Tero real",27,98,598
"111","Hirundo rustica","HIR-RUS","Golondrina Tijerita",1,13,204
"112","Hydropsalis torquata","HYD-TOR","Atajacaminos Tijera",2,5,24
"113","Hylocharis chrysura","HYL-CHR","Picaflor Bronceado",1,7,65
"114","Hymenops perspicillatus","HYM-PER","Pico de Plata",18,46,500
"115","Icterus pyrrhopterus","ICT-PYR","Boyerito",3,14,130
